[[1.        , 1.14392416, 0.92511008, 0.89846057, 1.13587566, 0.96473178, 1.0306189 , 0.94865573, 0.96620015, 1.04537337, 1.01893794, 0.98317038, 1.02210364],
 [0.9405958 , 0.41267449, 0.75583339, 0.78657365, 0.79166744, 1.09025783, 0.84670312, 1.17826611, 0.983576  , 0.95760708, 0.98343802, 1.03282162, 1.03958633],
 [1.04611902, 1.35513308, 0.91749898, 0.79713604, 0.79514363, 0.78343555, 0.98562394, 0.91894251, 0.91944455, 1.11437753, 1.17599534, 0.98706148, 1.00687745],
 [0.93172288, 1.12795084, 0.86548078, 1.25921489, 0.77169945, 0.87857049, 1.02812845, 1.11556277, 1.14821016, 1.03292319, 0.98115166, 1.06722269, 0.97209063],
 [1.10305869, 0.87560163, 0.91543876, 0.77579476, 1.13256111, 1.16443006, 0.86344008, 1.0898087 , 1.1642175 , 1.03060832, 1.0679893 , 0.91710811, 1.04787829],
 [1.06389602, 0.82519333, 1.23594497, 1.02348727, 1.15192762, 1.27087129, 0.91055993, 0.87779818, 0.84723569, 1.09084342, 1.01276633, 0.94797074, 1.01073387],
 [0.9429557 , 0.87773384, 1.04698745, 0.92448566, 0.9241954 , 1.01973694, 1.04977054, 1.07838688, 1.04588123, 1.07022095, 0.95844829, 0.92167891, 0.95485878],
 [0.99625991, 0.93678776, 1.08112988, 1.04915599, 0.99565059, 0.98819321, 0.91120168, 0.87481738, 0.91508967, 0.89519913, 1.11564251, 0.99088247, 1.03476134],
 [0.9493232 , 1.01435416, 1.02711154, 1.14225856, 1.08664963, 0.93283795, 1.16275679, 0.98569582, 0.92941166, 1.01663231, 0.90828109, 1.09383434, 1.00502745],
 [0.8969829 , 1.03763527, 1.12899186, 0.95763828, 1.05980825, 1.03868246, 1.06461686, 0.93545841, 0.87634354, 1.04601446, 1.02477691, 1.11472539, 1.05476222],
 [1.08612142, 1.04335011, 1.15269552, 1.03217628, 0.97462292, 0.9278518 , 1.09612178, 0.99882611, 0.94477243, 1.06985955, 1.03219714, 0.98076381, 0.92503549],
 [0.95773324, 1.0571605 , 1.07939386, 0.97479923, 0.90460728, 0.99622645, 1.04289321, 1.02083469, 1.08517798, 1.00545316, 1.04894809, 0.99394641, 0.94898978],
 [0.99981698, 0.98151903, 1.02473788, 1.08403663, 0.92136715, 0.93006418, 0.95147119, 0.98685688, 1.01170786, 1.03681482, 0.96460522, 1.01023435, 0.9541006 ]]
